condition,cellId,mean_speed,max_speed,std_speed,total_displacement,trajectory_length,mean_area,std_area,mean_volume,std_volume,residence_time,lateral_migration
Diabetes,121,0.00997283257395829,0.014381985921370527,0.0020293616035793804,1.1637845877313376e-05,1.196226385360235e-05,1.5796502500000002e-10,2.35634270518518e-11,8.197238499999999e-17,3.1906318323987167e-19,120,9.92999999999992e-08
Diabetes,130,0.01638496366076192,0.02024848940716566,0.003426625937765063,9.76573055741351e-06,9.917787630743453e-06,1.40287262295082e-10,7.933599300657174e-12,8.202223114754099e-17,4.351986023801792e-19,61,8.269999999999838e-08
Diabetes,132,0.014068568763476,0.018516759942700047,0.0030299210714566168,1.0844406622683419e-05,1.1014427231309646e-05,1.353706125e-10,6.448106635056291e-12,8.200128249999999e-17,5.057154375145238e-19,80,6.158999999999969e-08
Diabetes,134,0.012296395749178367,0.01657877797061352,0.0021036014188106325,1.6825071247305313e-05,1.707921107617413e-05,1.7902520714285717e-10,3.544381599936822e-11,8.220893214285714e-17,3.810333358908684e-19,140,6.617000000000076e-08
Diabetes,138,0.016812526936522756,0.020098088984082142,0.0019762564507763447,3.9786674839408226e-05,4.0064742938546364e-05,1.6203232500000003e-10,3.716854628432149e-11,8.336947291666666e-17,9.298595374511931e-19,240,1.762000000000001e-07
Diabetes,153,0.012878744781817615,0.015902808201732233,0.0025310015050748745,1.1247466668939277e-05,1.1460819748935262e-05,1.4454543333333334e-10,1.2643098591766325e-11,8.196089111111112e-17,3.7769246113868715e-19,90,8.81200000000006e-08
Diabetes,173,0.015591920046291997,0.01827541980970615,0.0024992828309783016,1.8318902222840762e-05,1.852473535994168e-05,1.4302845833333334e-10,1.291450289429108e-11,8.27818075e-17,8.690727448410922e-19,120,6.179999999999998e-08
Diabetes,179,0.016428835066535967,0.021853601067710216,0.002988328861975875,1.733734677604679e-05,1.7452733675568136e-05,1.3216343518518517e-10,4.8706846882351534e-12,8.255118333333335e-17,7.327811318506109e-19,108,1.9773000000000022e-07
Diabetes,180,0.017290248167506354,0.020901643741268294,0.0029158156468193116,2.3905797214610938e-05,2.3976075468474588e-05,1.4625277857142857e-10,1.3105597262166218e-11,8.217688642857144e-17,3.975923654889097e-19,140,1.5799999999999916e-07
Diabetes,190,0.009839779854657438,0.013235597811141324,0.0016640327380926159,1.7168888096673586e-05,1.7532156740993985e-05,1.9022442222222222e-10,6.254389699363432e-11,8.260425333333333e-17,5.643839844858593e-19,180,6.880000000000009e-08
Diabetes,196,0.019613556558105455,0.022691879822983575,0.002358439146610268,4.246335606962314e-05,4.264317007820338e-05,1.4429861643835618e-10,1.5870041430864106e-11,8.246362602739726e-17,5.571602918669175e-19,219,9.409999999999966e-08
Diabetes,202,0.0067603503477659255,0.009858704956325095,0.0014755485733036644,8.856344659621147e-06,9.17225645658017e-06,1.7714272142857143e-10,3.7417342703534975e-11,8.197101571428572e-17,2.719729930708521e-19,140,3.479999999999838e-08
Diabetes,207,0.012506746457452292,0.015994284519430683,0.002115958001195976,1.741043432686273e-05,1.775818285130557e-05,1.437397602739726e-10,1.9069577439690213e-11,8.268114726027398e-17,6.784840144174572e-19,146,1.3809999999999788e-07
Diabetes,210,0.014879012411298456,0.0184772506891562,0.002148877367042626,2.563791369554083e-05,2.5814710017041547e-05,1.4605768000000004e-10,2.24645690273966e-11,8.261417771428572e-17,6.709228849048138e-19,175,1.636999999999998e-07
Diabetes,224,0.01720377301804252,0.02045112949557799,0.002293376556220344,3.929616776097766e-05,3.936986608612335e-05,1.5446269130434783e-10,2.0859477818293754e-11,8.235958130434783e-17,4.2742351510494493e-19,230,1.1446000000000093e-07
Diabetes,229,0.01847366466474101,0.022010369966642997,0.002304305724065,4.020299178865797e-05,4.033692285256353e-05,1.6120975000000003e-10,2.8708777708279825e-11,8.327087045454545e-17,8.066404076199456e-19,220,1.9735999999999975e-07
